date,songpu_flow_m3s,songpu_water_level_m,huangdu_flow_m3s,huangdu_water_level_m,huangdu_flow_m3s_abs,huangdu_flow_m3s_reverse_flag,huangdu_flow_m3s_3d_mean,huangdu_flow_m3s_7d_mean,songpu_flow_m3s_abs,songpu_flow_m3s_reverse_flag,songpu_flow_m3s_3d_mean,songpu_flow_m3s_7d_mean,huangdu_water_level_m_1d_diff,huangdu_water_level_m_3d_mean,songpu_water_level_m_1d_diff,songpu_water_level_m_3d_mean,songpu_flow_level_coupling,huangdu_flow_level_coupling
2024-06-19,622.0,2.41,27.2,2.65,27.2,0,31.466666666666665,35.171428571428564,622.0,0,642.3333333333334,583.8571428571428,0.029999999999999805,2.6300000000000003,-0.009999999999999787,2.42,1499.02,72.08
2024-06-20,1060.0,2.49,17.8,2.78,17.8,0,26.13333333333333,32.89999999999999,1060.0,0,765.0,666.2857142857143,0.1299999999999999,2.6833333333333336,0.08000000000000007,2.44,2639.4,49.484
2024-06-21,735.0,2.61,15.0,2.78,15.0,0,19.999999999999996,29.52857142857142,735.0,0,805.6666666666666,695.4285714285714,0.0,2.7366666666666664,0.11999999999999966,2.5033333333333334,1918.35,41.699999999999996
2024-06-22,672.0,2.73,9.35,3.0,9.35,0,14.049999999999999,25.021428571428565,672.0,0,822.3333333333334,714.8571428571429,0.2200000000000002,2.853333333333333,0.1200000000000001,2.61,1834.56,28.049999999999997
2024-06-23,712.0,2.7,10.5,3.07,10.5,0,11.616666666666665,21.00714285714285,712.0,0,706.3333333333334,729.4285714285714,0.06999999999999984,2.9499999999999997,-0.029999999999999805,2.6799999999999997,1922.4,32.235
2024-06-24,753.0,2.82,14.1,3.04,14.1,0,11.316666666666663,18.19285714285714,753.0,0,712.3333333333334,738.1428571428571,-0.029999999999999805,3.0366666666666666,0.11999999999999966,2.75,2123.46,42.864
2024-06-25,656.0,2.87,-1.43,2.95,1.43,1,7.72333333333333,13.217142857142852,656.0,0,707.0,744.2857142857143,-0.08999999999999986,3.02,0.050000000000000266,2.796666666666667,1882.72,-4.2185
2024-06-26,773.0,2.89,19.9,3.09,19.9,0,10.856666666666664,12.17428571428571,773.0,0,727.3333333333334,765.8571428571429,0.13999999999999968,3.026666666666667,0.020000000000000018,2.86,2233.9700000000003,61.49099999999999
2024-06-27,1220.0,2.98,44.2,3.16,44.2,0,20.889999999999997,15.945714285714283,1220.0,0,883.0,788.7142857142857,0.07000000000000028,3.0666666666666664,0.08999999999999986,2.9133333333333336,3635.6,139.67200000000003
2024-06-28,1210.0,3.03,57.6,3.4,57.6,0,40.56666666666666,22.031428571428567,1210.0,0,1067.6666666666667,856.5714285714286,0.23999999999999977,3.216666666666667,0.04999999999999982,2.966666666666667,3666.2999999999997,195.84
2024-06-29,1150.0,3.0,66.8,3.19,66.8,0,56.20000000000001,30.238571428571426,1150.0,0,1193.3333333333333,924.8571428571429,-0.20999999999999996,3.25,-0.029999999999999805,3.0033333333333334,3450.0,213.09199999999998
2024-06-30,1120.0,2.89,30.2,3.12,30.2,0,51.53333333333333,33.05285714285714,1120.0,0,1160.0,983.1428571428571,-0.06999999999999984,3.236666666666667,-0.10999999999999988,2.973333333333333,3236.8,94.224
2024-07-01,1350.0,2.94,61.0,3.68,61.0,0,52.666666666666664,39.75285714285714,1350.0,0,1206.6666666666667,1068.4285714285713,0.56,3.33,0.04999999999999982,2.9433333333333334,3969.0,224.48000000000002
2024-07-02,1260.0,2.94,71.1,3.53,71.1,0,54.1,50.114285714285714,1260.0,0,1243.3333333333333,1154.7142857142858,-0.15000000000000036,3.4433333333333334,0.0,2.9233333333333333,3704.4,250.98299999999998
2024-07-03,928.0,2.77,43.6,3.18,43.6,0,58.56666666666667,53.49999999999999,928.0,0,1179.3333333333333,1176.857142857143,-0.34999999999999964,3.4633333333333334,-0.16999999999999993,2.883333333333333,2570.56,138.64800000000002
2024-07-04,995.0,2.81,43.8,3.01,43.8,0,52.833333333333336,53.442857142857136,995.0,0,1061.0,1144.7142857142858,-0.17000000000000037,3.24,0.040000000000000036,2.84,2795.9500000000003,131.838
2024-07-05,764.0,2.8,23.5,2.93,23.5,0,36.96666666666667,48.57142857142856,764.0,0,895.6666666666666,1081.0,-0.07999999999999963,3.0400000000000005,-0.010000000000000231,2.7933333333333334,2139.2,68.855
2024-07-06,738.0,2.77,13.0,2.96,13.0,0,26.76666666666667,40.88571428571428,738.0,0,832.3333333333334,1022.1428571428571,0.029999999999999805,2.966666666666667,-0.029999999999999805,2.793333333333333,2044.26,38.48
2024-07-07,474.0,2.77,5.29,2.96,5.29,0,13.93,37.32714285714285,474.0,0,658.6666666666666,929.8571428571429,0.0,2.9500000000000006,0.0,2.78,1312.98,15.6584
2024-07-08,515.0,2.81,9.93,2.92,9.93,0,9.406666666666666,30.031428571428567,515.0,0,575.6666666666666,810.5714285714286,-0.040000000000000036,2.9466666666666668,0.040000000000000036,2.7833333333333337,1447.15,28.9956
2024-07-09,504.0,2.78,10.9,2.9,10.9,0,8.706666666666665,21.431428571428565,504.0,0,497.6666666666667,702.5714285714286,-0.020000000000000018,2.9266666666666663,-0.03000000000000025,2.7866666666666666,1401.12,31.61
2024-07-10,524.0,2.76,0.371,2.86,0.371,0,7.067,15.255857142857137,524.0,0,514.3333333333334,644.8571428571429,-0.040000000000000036,2.893333333333333,-0.020000000000000018,2.783333333333333,1446.2399999999998,1.06106
2024-07-11,509.0,2.81,32.1,2.87,32.1,0,14.457,13.58442857142857,509.0,0,512.3333333333334,575.4285714285713,0.010000000000000231,2.8766666666666665,0.050000000000000266,2.783333333333333,1430.29,92.12700000000001
2024-07-12,773.0,2.9,48.1,3.12,48.1,0,26.857,17.098714285714284,773.0,0,602.0,576.7142857142857,0.25,2.9499999999999997,0.08999999999999986,2.8233333333333337,2241.7,150.072
2024-07-13,921.0,2.91,50.3,3.08,50.3,0,43.5,22.427285714285713,921.0,0,734.3333333333334,602.8571428571429,-0.040000000000000036,3.0233333333333334,0.010000000000000231,2.8733333333333335,2680.11,154.924
2024-07-14,946.0,2.92,54.7,3.09,54.7,0,51.03333333333333,29.48585714285714,946.0,0,880.0,670.2857142857143,0.009999999999999787,3.0966666666666662,0.009999999999999787,2.91,2762.3199999999997,169.023
2024-07-15,968.0,2.84,43.5,2.97,43.5,0,49.5,34.281571428571425,968.0,0,945.0,735.0,-0.11999999999999966,3.046666666666667,-0.08000000000000007,2.89,2749.12,129.19500000000002
2024-07-16,1060.0,2.76,40.2,2.83,40.2,0,46.13333333333333,38.46728571428571,1060.0,0,991.3333333333334,814.4285714285714,-0.14000000000000012,2.9633333333333334,-0.08000000000000007,2.84,2925.6,113.766
2024-07-17,1010.0,2.65,42.7,2.72,42.7,0,42.13333333333333,44.51428571428572,1010.0,0,1012.6666666666666,883.8571428571429,-0.10999999999999988,2.84,-0.10999999999999988,2.75,2676.5,116.14400000000002
2024-07-18,899.0,2.6,41.0,2.7,41.0,0,41.300000000000004,45.785714285714285,899.0,0,989.6666666666666,939.5714285714286,-0.020000000000000018,2.75,-0.04999999999999982,2.67,2337.4,110.7
2024-07-19,732.0,2.61,44.1,2.73,44.1,0,42.6,45.21428571428571,732.0,0,880.3333333333334,933.7142857142857,0.029999999999999805,2.716666666666667,0.009999999999999787,2.6199999999999997,1910.52,120.393
