source_feature,target_feature,lag_days,effect_strength,p_value
songpu_flow_m3s_1d_diff,songpu_water_level_m_1d_diff,2,0.08379878245349237,0.04000581963982237
dissolved_oxygen,runoff_sediment_pulse,3,0.08334581459393042,0.04143673204115093
songpu_resuspension_potential,songpu_flow_m3s_abs,1,0.08299972934083819,0.04263895476854264
songpu_tidal_pumping_proxy,songpu_water_level_m_1d_diff,3,0.08185058889630063,0.0447011440861352
songpu_flushing_potential,songpu_water_level_m_1d_diff,3,0.08176055959166796,0.045296266400263095
runoff_proxy,conductivity,1,0.08170210702335659,0.04509127472967698
songpu_water_level_m_1d_diff,songpu_flushing_potential,2,0.08169959718750978,0.04545761760456198
turbidity,runoff_sediment_pulse,3,0.08165912394791143,0.045384498632106
precipitation_3d,songpu_flow_m3s_abs,3,0.08141039679316114,0.04659626649456771
songpu_flushing_potential,conductivity,2,0.0814049297257006,0.04516241209635859
songpu_flow_m3s_1d_diff,songpu_flushing_potential,1,0.08108940665438316,0.04636669610140515
nh3_n,runoff_proxy,1,0.08107866786281684,0.047128748335124385
runoff_sediment_pulse,precipitation,2,0.08066562768440934,0.046974444515636905
runoff_sediment_pulse,precipitation_7d,3,0.08045143324504768,0.04849240223210887
wind_speed,resuspension_index,1,0.08038361641738798,0.04738587064307078
